time,temperature,pressure,velocity_x,velocity_y,velocity_z,density
0.0,300.0,101325.0,10.5,0.0,0.0,1.225
0.1,301.2,101320.0,10.8,0.5,0.1,1.223
0.2,302.5,101315.0,11.2,1.0,0.2,1.221
0.3,303.8,101310.0,11.5,1.5,0.3,1.219
0.4,305.1,101305.0,11.9,2.0,0.4,1.217
0.5,306.4,101300.0,12.2,2.5,0.5,1.215
0.6,307.2,101295.0,12.5,2.8,0.6,1.213
0.7,308.0,101290.0,12.8,3.0,0.7,1.211
0.8,308.5,101285.0,13.0,3.2,0.8,1.210
0.9,309.0,101280.0,13.2,3.4,0.9,1.209
1.0,309.5,101275.0,13.4,3.6,1.0,1.208
1.1,310.0,101270.0,13.5,3.7,1.0,1.207
1.2,310.2,101265.0,13.6,3.8,1.1,1.206
1.3,310.5,101260.0,13.7,3.9,1.1,1.205
1.4,310.7,101255.0,13.8,4.0,1.2,1.204
1.5,311.0,101250.0,13.9,4.1,1.2,1.203
1.6,311.2,101245.0,14.0,4.2,1.3,1.202
1.7,311.4,101240.0,14.1,4.3,1.3,1.201
1.8,311.6,101235.0,14.2,4.4,1.4,1.200
1.9,311.8,101230.0,14.3,4.5,1.4,1.199
2.0,312.0,101225.0,14.4,4.6,1.5,1.198
